THETA_0,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares
1.0,9.0,1003.0,0.418254763873,0.999999998296,0.586030663397,19.0,16.0,4.0,0.0,4.60518444666,10.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,982.0,230.875,0.0,843300.0,153980.0,0.0,3979.3253012,2461.62342951,755.0,14700.0,4375.83333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200204749363,0.020001102857,0.020005315177,0.0200005204909,0.919972586539,0.495798989899,0.155821284271,0.0508474576271,0.0109670987039,0.822580645161,0.177419354839,0.321068882098,0.0625,0.8,-0.246212121212,-0.5,-0.125,0.0,0.0,0.5,0.0,2400.0
1.0,7.0,1566.0,0.389776357578,0.999999998968,0.549019607277,46.0,5.0,1.0,0.0,4.88058748404,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,603.0,182.166666667,37500.0,843300.0,217916.666667,3195.63186813,5109.8707483,3995.17989537,2100.0,4300.0,3200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.865991140823,0.0333629560209,0.0333913411426,0.0336575535753,0.0335970084386,0.535901589941,0.231918817971,0.0638569604087,0.0153256704981,0.806451612903,0.193548387097,0.431102813853,0.0333333333333,1.0,-0.22472718254,-0.8,-0.05,0.4,0.1,0.1,0.1,9300.0
1.0,10.0,866.0,0.463560333974,0.999999997817,0.681222705936,10.0,0.0,2.0,0.0,4.57852193995,8.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,786.0,232.75,1100.0,843300.0,215012.5,953.0,3446.56413492,1939.35528192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0250003361644,0.0250001826247,0.899998107085,0.0250001306519,0.0250012434736,0.449986346986,0.0593242035742,0.0369515011547,0.0230946882217,0.615384615385,0.384615384615,0.325961174242,0.1,1.0,-0.301944444444,-1.0,-0.05,0.0,0.0,0.5,0.0,721.0
1.0,12.0,312.0,0.562700962821,0.999999994286,0.748571424294,11.0,1.0,1.0,0.0,4.59615384615,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,758.0,158.9,1500.0,843300.0,217000.0,1086.0,3396.48875092,2539.32352424,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200261489345,0.0200008344524,0.218443350383,0.0200002942318,0.721529371999,0.382735247209,0.086004784689,0.0384615384615,0.0192307692308,0.666666666667,0.333333333333,0.252840909091,0.1,0.6,-0.208333333333,-0.4,-0.1,0.0,0.0,0.5,0.0,2900.0
1.0,11.0,940.0,0.471474703475,0.999999998066,0.686653770432,7.0,4.0,2.0,1.0,4.48404255319,9.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,734.0,222.777777778,1400.0,843300.0,229977.777778,1067.0,4596.75,3092.25795846,1000.0,21200.0,11100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222358977249,0.0228813487071,0.45572958185,0.0222971402069,0.476856031511,0.461983676046,0.0661075036075,0.0308510638298,0.0255319148936,0.547169811321,0.452830188679,0.40841916704,0.1,1.0,-0.280092592593,-0.7,-0.05,0.27,0.13,0.23,0.13,882.0
1.0,6.0,598.0,0.471512769211,0.999999997135,0.553008594404,9.0,2.0,40.0,0.0,4.42474916388,4.0,0.0,0.0,1.0,0.0,0.0,0.0,217.0,488.0,377.75,3800.0,617900.0,192800.0,1339.64285714,3155.95377907,2195.90193997,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.322082921604,0.527900029868,0.0500063691611,0.0500058625068,0.0500048168595,0.37421256904,0.169193163159,0.0384615384615,0.00501672240803,0.884615384615,0.115384615385,0.237417654809,0.0333333333333,0.7,-0.246031746032,-0.5,-0.0714285714286,0.0,0.0,0.5,0.0,3700.0
1.0,13.0,118.0,0.716814152949,0.999999984848,0.848484835629,6.0,4.0,0.0,0.0,4.5,10.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,349.0,114.444444444,0.0,843300.0,325710.0,0.0,4032.1361587,2421.00851188,865.0,9100.0,4982.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.452099211697,0.020018976872,0.337846089677,0.0200296234864,0.170006098268,0.380555555556,0.216666666667,0.0593220338983,0.00847457627119,0.875,0.125,0.466666666667,0.05,1.0,-0.5,-0.5,-0.5,0.375,-0.125,0.125,0.125,916.0
1.0,10.0,213.0,0.592964821141,0.999999991525,0.745762705544,5.0,3.0,1.0,0.0,4.39436619718,4.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,57.0,25.5,27700.0,843300.0,404475.0,2059.97639485,3582.22140914,2945.73443749,1500.0,2800.0,2150.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0502320746916,0.0502012890146,0.0500012612399,0.0500001092226,0.799565265831,0.37541322314,0.0680785123967,0.0140845070423,0.00469483568075,0.75,0.25,0.312121212121,0.136363636364,0.4,-0.1875,-0.1875,-0.1875,0.0,0.0,0.5,0.0,1600.0
1.0,7.0,299.0,0.589830506475,0.999999994565,0.739130430766,4.0,2.0,3.0,0.0,5.0635451505,6.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,584.0,207.5,25900.0,843300.0,195700.0,2188.58847602,4588.0,2997.99606361,1900.0,1900.0,1900.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0336197061933,0.0333337179634,0.532753245583,0.0333335644645,0.366959765796,0.400297619048,0.0675595238095,0.0301003344482,0.0234113712375,0.5625,0.4375,0.367592592593,0.1,0.8,-0.14880952381,-0.2,-0.1,0.0,0.0,0.5,0.0,10200.0
1.0,9.0,164.0,0.68789808479,0.999999989474,0.842105254294,2.0,2.0,1.0,0.0,4.31097560976,5.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,396.0,98.0,15200.0,843300.0,296000.0,1357.75862069,3720.31968611,2993.86430129,947.0,1000.0,973.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.238765064696,0.640087288521,0.0400005052599,0.0411461107426,0.0400010307803,0.516566171923,0.0753865182437,0.0487804878049,0.0426829268293,0.533333333333,0.466666666667,0.341301406926,0.1,1.0,-0.273299319728,-0.5,-0.05,0.0,0.0,0.5,0.0,869.0
